keyword,created_at,text,username,hashtag,hashtag_occurence
Doctor,2021-07-23 13:06:43,"RT @MamirRick: Escucho conversaciones en la calle en las que la gente comenta que ahora, con sólo 3 o 4 minutos de charla con un positivo,…",DeVerdad15,,246
Doctor,2021-07-23 13:06:43,RT @twyse_116: The Doctor and The Coffin Maker 😭🤦🏽‍♂️ #TwyseAndFamily https://t.co/ZJ9aD1rGgw,debbieyenk,TwyseAndFamily,2
Doctor,2021-07-23 13:06:42,"RT @mariawirth1: a professor gets suspended from his Canadian university for calling for ""informed consent"" to mRNA vaccines and for pausin…",AsterixdeGaulle,,246
Doctor,2021-07-23 13:06:42,RT @tjruby_: คุณหมอ รพ.ศัลยกรรม V Lif Doctor ที่คังนัม เล่าว่าช่วงนี้มีคนนำรูปเจนนี่มาปรึกษาอยากทำแบบเจนนี่เยอะมากและเทรนตอนนี้ได้เปลี่ยนไป…,world_jennie,,246
Doctor,2021-07-23 13:06:40,RT @sweatsXstew: Going To The Doctor &amp; Dentist Regularly Is So Important!!!,pretty_amazin,,246
Doctor,2021-07-23 13:06:40,"RT @costanzo740: @sonyab1974 @MitchFan What I'd Paris knows Finn ,maybe was her doctor,? Ok we don't know exact story of Paris,well I expec…",mscharpf24,,246
Doctor,2021-07-23 13:06:40,RT @katesunit: the doctor who cast are all fucking idiots i think im safe https://t.co/Xlp6kfSOiB,sxiestfrogalive,,246
Doctor,2021-07-23 13:06:39,"RT @Bharti_SK17: Them 😍😋
ARUMPON ❤️ AADHINI 😍😋

@Siva_Kartikeyan ❤️ @priyankaamohan 

#Doctor #Don #EtharkumThunindhavan https://t.co/iI2yH…",Nivi_Skfangirl,Doctor,1
Doctor,2021-07-23 13:06:39,"Una duda que me surje de la serie de Loki es, ¿Dónde cojones vio el Doctor Extraño todos esos futuros posibles si s… https://t.co/7ATlncM3wb",laquintacolumna,,246
Doctor,2021-07-23 13:06:38,"@doctor_milano Sei sempre molto educato, io avrei usato altri aggettivi…",Pardipall,,246
Doctor,2021-07-23 13:06:38,@haiji_doctor 大事な気付きを、ありがとうございます😂✨,USK_karitori,,246
Doctor,2021-07-23 13:06:37,@luka_doctor @claudiopalma clix fans harassing mack wood,ange1dontcare,,246
Doctor,2021-07-23 13:06:37,RT @acervobigbig: A MAIOR🚨 Flávia Big Big poderá aparecer como Jean Grey em ‘Doctor Strange in the Multiverse of Madness’. https://t.co/Ra7…,QueenOfTheCaos,,246
Doctor,2021-07-23 13:06:36,"RT @NBCNews: About 100 U.S. athletes in Tokyo are unvaccinated as the Olympics begins, the team’s top doctor reveals. https://t.co/T1WW8TDI…",PurpleEggsNHam,,246
Doctor,2021-07-23 13:06:36,RT @_JAEFY00N: JEONG JAEHYUN AS A DOCTOR/SURGEON https://t.co/06ztIAxREs,candyy_bomb,,246
Doctor,2021-07-23 13:06:35,"RT @the_raven77: -Jamás podré agradecerle todo lo que ha hecho por mí, doctor.

-Soy San Pedro.

-Hostia puta.",JuAntonio2307,,246
Doctor,2021-07-23 13:06:35,@LRoundels @Si_Hart I do like to imagine it became the default and each subsequent Doctor had to record their own version.,mykebartlett,,246
Doctor,2021-07-23 13:06:35,RT @acervobigbig: A MAIOR🚨 Flávia Big Big poderá aparecer como Jean Grey em ‘Doctor Strange in the Multiverse of Madness’. https://t.co/Ra7…,straightcocaine,,246
Doctor,2021-07-23 13:06:34,"RT @DailyExposeGB: 2,431 women have reported the loss of their unborn baby due to having a C0V 1 - D jab their Doctor advised them to have…",Howarth_1918,,246
Doctor,2021-07-23 13:06:34,"RT @b_lokidottir: 🚨RUMOR: Mamacita entrou para o elenco de ""Doctor Strange In The Multiverse of Madness"" https://t.co/YnmSc5seTq",orion73072323,,246
Doctor,2021-07-23 13:06:34,RT @WhovianEspresso: New Unboxing video of the latest @CharacterToysUK #DoctorWho exclusive Second Doctor and electronic TARDIS from the ab…,BobaTennant,DoctorWho,1
Doctor,2021-07-23 13:06:34,RT @gmalau32: Anyone who think ANC is running the country needs to see a doctor. We are in this mess because the country is run by the Esta…,CMapitsa,,246
Doctor,2021-07-23 13:06:33,UAE: Doctor couple and son granted 10-year Golden Visas https://t.co/aQwctDvN1E https://t.co/buQIBTERPu,UAENews,,246
Doctor,2021-07-23 13:06:33,https://t.co/rep2fBPjT4,Odango_Doctor,,246
Doctor,2021-07-23 13:06:32,"RT @axios: NEW: About 100 of the 613 Team USA athletes have not been vaccinated, NBC News reports, citing the team's top doctor. https://t.…",Tahl,,246
Doctor,2021-07-23 13:06:32,Sin internet y tampoco Flow @CableFibertel,doctor_escabio,,246
Doctor,2021-07-23 13:06:30,RT @theCGchannel: See Film Direction's spectacular #VFXbreakdown of a van crashing through a bus and other vehicular mayhem from Russian ac…,RedBlueGhost,VFXbreakdown,1
Doctor,2021-07-23 13:06:30,"RT @sassyRekha: 1: Condition at a hospital in Klang Valley today (22 July 2021). A doctor there said:

-&gt;""Patients are lying on the floor,…",gutecaine,,246
Doctor,2021-07-23 13:06:30,RT @Dineshk27504774: @PMOIndia सर FMG DOCTOR को ALLOW करिये @mansukhmandviya जी और ट्रेनिंग मे भेजिये 35000 DOCTOR को यहा जो लास्ट ईयर के M…,Kishore71726598,,246
